ID,Nom_Produit,Marque,Code_Barres,Categorie,Energie_kJ,Energie_kcal,Acides_Gras_Satures_g,Sucres_g,Sodium_mg,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,Score_Nutriscore,Label_Nutriscore,Score_Greenscore,Label_Greenscore,Label_Bio,Nombre_Additifs,Liste_Additifs,URL_OpenFoodFacts,Date_Collecte,Notes,Classe_ELECTRE_Pessimiste_06,Classe_ELECTRE_Optimiste_06,Classe_ELECTRE_Pessimiste_07,Classe_ELECTRE_Optimiste_07,Classe_SuperNutriScore
87,Schweppes Agrumes Zero,Schweppes,5410221305108,Soda,9.8,2.3,0.0,0.3,0.0,0.0,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,8,"e142, e14xx, e202, e300, e330, e445, e950, e955",https://world.openfoodfacts.org/product/5410221305108/schweppes-agrumes-zero,2025-10-17,,,,,,
88,Nectar Orange,Al Boustane,6111179003847,Jus de fruits,227.0,46.0,0.0,11.0,0.0,0.0,0.0,0.0,0,11,E,94.0,A-PLUS,NON,1,e330,https://world.openfoodfacts.org/product/6111179003847/nectar-orange-al-boustane,2025-10-17,,,,,,
89,Cola Cao El Original,ColaCao,8410014478733,Soda,288.0,68.0,1.1,9.1,48.0,0.12,3.4,0.5,0,8,D,54.0,C,NON,0,,https://world.openfoodfacts.org/product/8410014478733/cola-cao-el-original-colacao,2025-10-17,,,,,,
90,PET 1.2L MAYTEA PECHE,May Tea,3124480195319,Thé,85.0,20.0,0.0,4.7,12.0,0.03,0.0,0.0,0,4,C,61.0,B,NON,4,"e296, e300, e330, e331",https://world.openfoodfacts.org/product/3124480195319/pet-1-2l-maytea-peche-may-tea,2025-10-17,,,,,,
91,"Alpro Sojadrink, Ungesüßt fresh",Alpro,5411188106814,Boisson lactée,138.0,33.0,0.3,0.0,36.0,0.09,3.3,0.6,0,-5,B,73.0,B,NON,2,"e340, e418",https://world.openfoodfacts.org/product/5411188106814/soya-unsweetened-drink-alpro,2025-10-17,,,,,,
92,Oat Barista Blend,Califia Farms,0813636022953,Boisson lactée,229.0,54.0,0.2,2.8,48.0,0.12,0.8,0.8,0,6,C,52.0,C,NON,6,"e170, e170i, e340, e340ii, e341, e341iii",https://world.openfoodfacts.org/product/0813636022953/oat-barista-blend-califia-farms,2025-10-17,,,,,,
93,Organic Soya Unsweetened U.H.T.,Alpro,5411188511137,Boisson lactée,132.0,32.0,0.3,0.0,12.0,0.03,3.3,0.6,0,-5,B,93.0,A-PLUS,OUI,0,,https://world.openfoodfacts.org/product/5411188511137/organic-soya-unsweetened-u-h-t-alpro,2025-10-17,,,,,,
94,Coconut Milk,ktc,5013635330010,Boisson lactée,419.0,109.0,9.7,1.3,20.0,0.05,0.5,0.0,0,18,E,70.0,B,NON,3,"e412, e415, e435",https://world.openfoodfacts.org/product/5013635330010/coconut-milk-ktc,2025-10-17,,,,,,
95,1L PUR JUS ORANGE JOKER NEW,Joker,3123349011227,Jus de fruits,172.0,41.0,0.0,8.5,0.0,0.0,0.8,0.0,0,4,C,47.0,C,NON,0,,https://world.openfoodfacts.org/product/3123349011227/1l-pur-jus-orange-joker-new,2025-10-17,,,,,,
96,soya Vanille,Alpro,5411188115533,Boisson lactée,240.0,57.0,0.3,6.7,56.0,0.14,3.0,0.5,0,3,C,79.0,A,NON,2,"e340, e418",https://world.openfoodfacts.org/product/5411188115533/alpro-soya-vanille,2025-10-17,,,,,,
97,L'ben,Soummam,6130760003769,Boisson lactée,168.5,40.1,1.13,0.0,28.0,0.07,2.7,0.0,0,-1,B,45.0,C,NON,0,,https://world.openfoodfacts.org/product/6130760003769/l-ben-soummam,2025-10-17,,,,,,
98,PET 1.2L MAYTEA MENTHE,May Tea,3124480195326,Thé,59.0,14.0,0.0,3.3,12.0,0.03,0.0,0.0,0,3,C,98.0,A-PLUS,NON,4,"e296, e300, e330, e331",https://world.openfoodfacts.org/product/3124480195326/pet-1-2l-maytea-menthe-may-tea,2025-10-17,,,,,,
99,Bulles de fruits Pamplemousse Touche de citron,Badoit,3068320118420,Eau,89.0,21.0,0.0,4.9,24.0,0.06,0.5,0.5,0,4,C,,NOT-APPLICABLE,NON,1,e330,https://world.openfoodfacts.org/product/3068320118420/bulles-de-fruits-pamplemousse-touche-de-citron-badoit,2025-10-17,,,,,,
